"Trade ID","Issue date","Currency","Due date","Interest rate exp","Status"
1935,"25/09/2023","EUR","02/10/2023","9.24%","Open"
13887,"25/09/2023","EUR","29/01/2024","9.17%","Open"
3366,"17/08/2023","EUR","29/09/2023","9.07%","Open"
3428,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3430,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3464,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3469,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3678,"17/08/2023","EUR","19/10/2023","8.73%","Open"
4948,"25/09/2023","EUR","02/10/2023","9.24%","Open"
13785,"25/09/2023","EUR","30/10/2023","10.05%","Open"
3475,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3483,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3485,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3536,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3538,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3540,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3543,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3545,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3547,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3549,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3554,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3556,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3558,"17/08/2023","EUR","19/10/2023","8.67%","Open"
3667,"23/06/2023","EUR","01/11/2023","10.46%","Open"
4950,"25/09/2023","EUR","02/10/2023","9.24%","Open"
8501,"28/07/2023","EUR","30/09/2023","6.75%","Closed"
13976,"25/09/2023","EUR","31/10/2023","8.72%","Open"
3838,"17/08/2023","EUR","19/10/2023","8.74%","Open"
4791,"17/08/2023","EUR","29/09/2023","9.24%","Open"
4960,"25/09/2023","EUR","02/10/2023","9.24%","Open"
4967,"25/09/2023","EUR","02/10/2023","9.24%","Open"
5002,"25/09/2023","EUR","03/11/2023","9.24%","Open"
5004,"25/09/2023","EUR","03/11/2023","9.24%","Open"
11134,"14/08/2023","EUR","30/09/2023","9.24%","Open"
13584,"25/09/2023","EUR","30/11/2023","9.70%","Open"
11477,"16/08/2023","EUR","30/11/2023","9.66%","Open"
10290,"09/08/2023","EUR","15/08/2023","9.71%","Closed"
5005,"25/09/2023","EUR","06/11/2023","9.24%","Open"
4999,"25/09/2023","EUR","03/11/2023","9.24%","Open"
5001,"25/09/2023","EUR","03/11/2023","9.24%","Open"
5007,"25/09/2023","EUR","06/11/2023","9.24%","Open"
